ano;regiao;pop_faixas;em;acesso_esgoto;pbf;desocupados;informalidade;municipio_rural
2015;Norte;50.000-99.999;16,95;2,36;51,21;70,32;67,21;Urbano
2015;Norte;50.000-99.999;27,13;29,05;43,26;76,28;49,90;Urbano
2015;Norte;10.000-24.999;36,59;0,84;51,37;89,31;78,57;Urbano
2015;Norte;5.000-9.999;12,00;1,66;62,99;86,60;100,00;Rural
2015;Norte;10.000-24.999;33,78;0,36;89,25;79,91;84,62;Rural
2015;Norte;25.000-49.999;20,00;0,99;54,64;76,70;51,43;Urbano
2015;Norte;25.000-49.999;14,29;1,15;70,76;88,08;70,41;Urbano
2015;Norte;50.000-99.999;25,50;0,58;59,33;76,63;64,23;Urbano
2015;Norte;A partir de 100.000;18,67;4,33;42,19;73,18;63,58;Urbano
2015;Norte;25.000-49.999;10,58;0,35;42,48;76,92;64,71;Urbano
2015;Norte;25.000-49.999;24,72;2,33;55,29;77,90;61,82;Urbano
2015;Norte;A partir de 100.000;14,59;3,84;54,87;92,34;55,69;Urbano
2015;Norte;50.000-99.999;23,19;1,56;41,75;69,31;51,00;Urbano
2015;Norte;50.000-99.999;27,35;3,88;60,15;81,89;58,89;Urbano
2015;Norte;25.000-49.999;20,68;0,24;67,62;84,12;78,03;Rural
2015;Norte;10.000-24.999;34,92;31,37;73,59;89,10;57,14;Rural
2015;Norte;5.000-9.999;18,18;3,96;68,56;79,75;48,28;Rural
2015;Norte;10.000-24.999;16,67;1,36;60,96;92,97;58,33;Urbano
2015;Norte;5.000-9.999;13,33;2,17;83,36;93,23;60,00;Urbano
2015;Norte;25.000-49.999;26,67;10,22;83,54;82,95;54,76;Urbano
2015;Norte;10.000-24.999;19,30;3,21;81,76;87,76;91,30;Rural
2015;Norte;10.000-24.999;25,37;1,44;76,68;85,00;44,83;Rural
2015;Norte;50.000-99.999;38,32;1,15;83,74;88,11;70,17;Urbano
2015;Norte;25.000-49.999;25,67;0,55;93,89;93,87;89,52;Rural
2015;Norte;5.000-9.999;19,67;1,93;92,12;82,67;91,67;Rural
2015;Norte;10.000-24.999;37,17;0,87;87,69;99,28;100,00;Rural
2015;Norte;10.000-24.999;41,94;0,58;78,77;84,16;84,38;Urbano
2015;Norte;A partir de 100.000;30,34;43,07;67,51;82,94;68,90;Urbano
2015;Norte;10.000-24.999;33,04;0,34;87,21;82,71;87,69;Rural
2015;Norte;10.000-24.999;39,67;0,95;71,42;98,28;100,00;Urbano
2015;Norte;25.000-49.999;28,17;3,99;82,44;86,25;79,51;Urbano
2015;Norte;25.000-49.999;25,65;0,45;86,43;73,54;95,41;Rural
2015;Norte;10.000-24.999;32,10;15,20;81,24;86,59;79,41;Urbano
2015;Norte;10.000-24.999;18,35;0,71;82,50;88,00;75,00;Rural
